,id_bacha,id_interno,name_interno,Unnamed: 3,precio_bacha,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
264,LD003.0066,4331,POETT AEROSOL X 360CCC BEBE (6UXB) **,21.0,105.6,45.0,154.0,0.0,0.0,0.0,$,,,"AROMATIZACION, DESODORANTES Y PERFUMES AMBIENTALE",,EL BACHA,POETT,,,,,,,POETT AEROSOL
265,LD003.0066,4333,POETT AEROSOL X360CCC ESPIRITU JOVEN (6UXB) **,21.0,105.6,45.0,154.0,0.0,0.0,0.0,$,,,"AROMATIZACION, DESODORANTES Y PERFUMES AMBIENTALE",,EL BACHA,POETT,,,,,,,POETT AEROSOL
266,LL058.0128,2265,POETT BIDON X 4L ALGODON (3UXB)**,,,,,,,,,,,,,,,,,,,,,
267,LL058.0124,2263,POETT BIDON X 4L BEBE (3UXB) **,21.0,356.95,45.0,517.58,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 4L
268,LL058.0126,2264,POETT BIDON X 4L LAVANDA (3UXB)**,21.0,356.95,45.0,517.58,0.0,0.0,0.0,$,LL058.0128,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 4L
269,LL058.0126,4143,POETT BIDON X 4L LOVE EVOLUTION (3UXB) **,21.0,356.95,45.0,517.58,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 4L
270,LL058.0128,4144,POETT BIDON X 4L PRIMAVERA (3UXB)**,21.0,356.95,45.0,517.58,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 4L
271,LL058.0132,2266,POETT BIDON X 4L SOLO PARA TI (3UXB)**,21.0,356.95,45.0,517.58,0.0,0.0,0.0,$,,,LIMPIADORES Y DESODORANTES DE PISO,,EL BACHA,POETT,,,,,,,POETT LIQUIDO X 4L
272,LD028.0020,2244,POETT CANASTA INODORO FULL X 32GR,21.0,89.1,45.0,129.2,0.0,0.0,0.0,$,,,LIMPIADORES DE BAÑO E INODORO,,EL BACHA,POETT,,,,,,,POETT CANASTA INODORO
273,LD029.0025,2245,POETT CANASTA INODORO REPUESTO X 32GR,21.0,76.45,45.0,110.85,0.0,0.0,0.0,$,,,LIMPIADORES DE BAÑO E INODORO,,EL BACHA,POETT,,,,,,,POETT CANASTA INODORO
